GRIDCODE,CVENTMUN,Puerto
58995,2001,0.333
76270,2001,0.333
76622,2001,0.333
72052,2002,1
78737,2005,1
44188,3001,0.5
45954,3001,0.5
54781,3002,0.25
55485,3002,0.25
56519,3002,0.25
58289,3002,0.25
41031,3003,0.333
41737,3003,0.333
42086,3003,0.333
35740,3008,0.5
36448,3008,0.5
48434,3009,0.5
49493,3009,0.5
23606,4002,0.333
23607,4002,0.333
24649,4002,0.333
17945,4003,0.5
18655,4003,0.5
21488,4004,1
18152,6007,0.5
18153,6007,0.5
998,7089,1
5922,7097,1
8673,12001,1
10425,12057,1
18854,14022,1
25202,14067,0.5
25555,14067,0.5
13235,16052,1
27320,18004,1
29085,18012,0.5
29776,18012,0.5
25554,18020,1
6611,20079,1
4824,20318,1
4125,20324,1
10508,20407,1
4483,20413,1
27178,23001,1
31062,23003,1
17992,23004,0.333
18693,23004,0.333
19758,23004,0.333
29296,23005,0.5
30708,23005,0.5
32114,23007,1
27881,23008,0.5
28235,23008,0.5
24702,23009,1
47047,25001,1
33316,25009,0.5
35081,25009,0.5
36486,25012,0.5
36838,25012,0.5
42823,25018,1
57617,26029,0.5
57618,26029,0.5
51985,26033,1
66778,26047,1
73125,26048,1
74880,26055,1
16157,27002,1
17583,27003,1
14403,27004,1
16872,27014,1
33405,28003,1
32347,28009,1
45411,28022,1
39054,28037,1
17546,30011,1
25648,30033,1
15092,30039,0.5
15444,30039,0.5
28116,30151,1
24944,30158,1
16842,30178,1
26705,30189,1
23888,30211,1
28197,31011,1
31038,31028,1
29613,31038,1
29968,31059,0.5
30323,31059,0.5
32105,31061,0.5
32107,31061,0.5
32104,31065,1
30680,31083,1
32110,31096,1