GRIDCODE,CVENTMUN,Fa
29825,01001,1
79110,02002,1
79444,02004,1
40677,03003,1
36801,03008,1
49493,03009,1
23608,04002,1
17946,04003,1
46404,05035,1
19220,06002,1
18856,06007,1
7355,07019,1
9467,07078,1
1351,07089,1
9459,07101,1
60143,08019,1
72847,08037,1
19978,09017,1
40390,10005,1
26657,11037,1
8322,12001,1
11832,12038,1
25224,14039,1
25555,14067,1
19620,15106,1
21721,16053,1
19591,16102,1
17505,17018,1
28384,18017,1
47499,19006,1
9770,20385,1
4824,20318,1
4481,20413,1
18928,21074,1
25260,22005,1
25260,22011,1
27884,23001,1
18692,23004,1
30355,23005,1
30220,24034,1
33388,24058,1
41778,25005,1
47054,25011,1
70311,26017,1
65403,26028,1
57618,26029,1
53398,26042,1
17231,27003,1
34451,28021,1
37973,28026,1
36916,28031,1
39054,28037,1
47172,28040,1
18590,30047,1
12608,30130,1
26799,31049,1
31584,32055,1