CVID,Horas,Uso
1000,6,CST
1001,6,CST
1002,6,CST
1003,6,CST
1004,6,CST
1005,6,CST
1006,6,CST
1007,6,CST
1008,6,CST
1009,6,CST
1010,6,CST
1011,6,CST
2000,8,PST
2001,8,PST
2002,8,PST
2003,8,PST
2004,8,PST
2005,8,PST
2020,8,PST
3000,8,PST
3001,8,PST
3002,8,PST
3003,8,PST
3008,8,PST
3009,8,PST
4000,6,CST
4001,6,CST
4002,6,CST
4003,6,CST
4004,6,CST
4005,6,CST
4006,6,CST
4007,6,CST
4008,6,CST
4009,6,CST
4010,6,CST
4011,6,CST
5000,6,CST
5001,6,CST
5002,6,CST
5003,6,CST
5004,6,CST
5005,6,CST
5006,6,CST
5007,6,CST
5008,6,CST
5009,6,CST
5010,6,CST
5011,6,CST
5012,6,CST
5013,6,CST
5014,6,CST
5015,6,CST
5016,6,CST
5017,6,CST
5018,6,CST
5019,6,CST
5020,6,CST
5021,6,CST
5022,6,CST
5023,6,CST
5024,6,CST
5025,6,CST
5026,6,CST
5027,6,CST
5028,6,CST
5029,6,CST
5030,6,CST
5031,6,CST
5032,6,CST
5033,6,CST
5034,6,CST
5035,6,CST
5036,6,CST
5037,6,CST
5038,6,CST
6000,6,CST
6001,6,CST
6002,6,CST
6003,6,CST
6004,6,CST
6005,6,CST
6006,6,CST
6007,6,CST
6008,6,CST
6009,6,CST
6010,6,CST
7000,6,CST
7001,6,CST
7002,6,CST
7003,6,CST
7004,6,CST
7005,6,CST
7006,6,CST
7007,6,CST
7008,6,CST
7009,6,CST
7010,6,CST
7011,6,CST
7012,6,CST
7013,6,CST
7014,6,CST
7015,6,CST
7016,6,CST
7017,6,CST
7018,6,CST
7019,6,CST
7020,6,CST
7021,6,CST
7022,6,CST
7023,6,CST
7024,6,CST
7025,6,CST
7026,6,CST
7027,6,CST
7028,6,CST
7029,6,CST
7030,6,CST
7031,6,CST
7032,6,CST
7033,6,CST
7034,6,CST
7035,6,CST
7036,6,CST
7037,6,CST
7038,6,CST
7039,6,CST
7040,6,CST
7041,6,CST
7042,6,CST
7043,6,CST
7044,6,CST
7045,6,CST
7046,6,CST
7047,6,CST
7048,6,CST
7049,6,CST
7050,6,CST
7051,6,CST
7052,6,CST
7053,6,CST
7054,6,CST
7055,6,CST
7056,6,CST
7057,6,CST
7058,6,CST
7059,6,CST
7060,6,CST
7061,6,CST
7062,6,CST
7063,6,CST
7064,6,CST
7065,6,CST
7066,6,CST
7067,6,CST
7068,6,CST
7069,6,CST
7070,6,CST
7071,6,CST
7072,6,CST
7073,6,CST
7074,6,CST
7075,6,CST
7076,6,CST
7077,6,CST
7078,6,CST
7079,6,CST
7080,6,CST
7081,6,CST
7082,6,CST
7083,6,CST
7084,6,CST
7085,6,CST
7086,6,CST
7087,6,CST
7088,6,CST
7089,6,CST
7090,6,CST
7091,6,CST
7092,6,CST
7093,6,CST
7094,6,CST
7096,6,CST
7097,6,CST
7098,6,CST
7099,6,CST
7100,6,CST
7101,6,CST
7102,6,CST
7103,6,CST
7104,6,CST
7105,6,CST
7106,6,CST
7107,6,CST
7108,6,CST
7109,6,CST
7110,6,CST
7111,6,CST
7112,6,CST
7113,6,CST
7114,6,CST
7115,6,CST
7116,6,CST
7117,6,CST
7118,6,CST
7119,6,CST
8000,7,MST
8001,7,MST
8002,7,MST
8003,7,MST
8004,7,MST
8005,7,MST
8006,7,MST
8007,7,MST
8008,7,MST
8009,7,MST
8010,7,MST
8011,7,MST
8012,7,MST
8013,7,MST
8014,7,MST
8015,7,MST
8016,7,MST
8017,7,MST
8018,7,MST
8019,7,MST
8020,7,MST
8021,7,MST
8022,7,MST
8023,7,MST
8024,7,MST
8025,7,MST
8026,7,MST
8027,7,MST
8028,7,MST
8029,7,MST
8030,7,MST
8031,7,MST
8032,7,MST
8033,7,MST
8034,7,MST
8035,7,MST
8036,7,MST
8037,7,MST
8038,7,MST
8039,7,MST
8040,7,MST
8041,7,MST
8042,7,MST
8043,7,MST
8044,7,MST
8045,7,MST
8046,7,MST
8047,7,MST
8048,7,MST
8049,7,MST
8050,7,MST
8051,7,MST
8052,7,MST
8053,7,MST
8054,7,MST
8055,7,MST
8056,7,MST
8057,7,MST
8058,7,MST
8059,7,MST
8060,7,MST
8061,7,MST
8062,7,MST
8063,7,MST
8064,7,MST
8065,7,MST
8066,7,MST
8067,7,MST
9000,6,CST
9002,6,CST
9003,6,CST
9004,6,CST
9005,6,CST
9006,6,CST
9007,6,CST
9008,6,CST
9009,6,CST
9010,6,CST
9011,6,CST
9012,6,CST
9013,6,CST
9014,6,CST
9015,6,CST
9016,6,CST
9017,6,CST
10000,6,CST
10001,6,CST
10002,6,CST
10003,6,CST
10004,6,CST
10005,6,CST
10006,6,CST
10007,6,CST
10008,6,CST
10009,6,CST
10010,6,CST
10011,6,CST
10012,6,CST
10013,6,CST
10014,6,CST
10015,6,CST
10016,6,CST
10017,6,CST
10018,6,CST
10019,6,CST
10020,6,CST
10021,6,CST
10022,6,CST
10023,6,CST
10024,6,CST
10025,6,CST
10026,6,CST
10027,6,CST
10028,6,CST
10029,6,CST
10030,6,CST
10031,6,CST
10032,6,CST
10033,6,CST
10034,6,CST
10035,6,CST
10036,6,CST
10037,6,CST
10038,6,CST
10039,6,CST
11000,6,CST
11001,6,CST
11002,6,CST
11003,6,CST
11004,6,CST
11005,6,CST
11006,6,CST
11007,6,CST
11008,6,CST
11009,6,CST
11010,6,CST
11011,6,CST
11012,6,CST
11013,6,CST
11014,6,CST
11015,6,CST
11016,6,CST
11017,6,CST
11018,6,CST
11019,6,CST
11020,6,CST
11021,6,CST
11022,6,CST
11023,6,CST
11024,6,CST
11025,6,CST
11026,6,CST
11027,6,CST
11028,6,CST
11029,6,CST
11030,6,CST
11031,6,CST
11032,6,CST
11033,6,CST
11034,6,CST
11035,6,CST
11036,6,CST
11037,6,CST
11038,6,CST
11039,6,CST
11040,6,CST
11041,6,CST
11042,6,CST
11043,6,CST
11044,6,CST
11045,6,CST
11046,6,CST
12000,6,CST
12001,6,CST
12002,6,CST
12003,6,CST
12004,6,CST
12005,6,CST
12006,6,CST
12007,6,CST
12008,6,CST
12009,6,CST
12010,6,CST
12011,6,CST
12012,6,CST
12013,6,CST
12014,6,CST
12015,6,CST
12016,6,CST
12017,6,CST
12018,6,CST
12019,6,CST
12020,6,CST
12021,6,CST
12022,6,CST
12023,6,CST
12024,6,CST
12025,6,CST
12026,6,CST
12027,6,CST
12028,6,CST
12029,6,CST
12030,6,CST
12031,6,CST
12032,6,CST
12033,6,CST
12034,6,CST
12035,6,CST
12036,6,CST
12037,6,CST
12038,6,CST
12039,6,CST
12040,6,CST
12041,6,CST
12042,6,CST
12043,6,CST
12044,6,CST
12045,6,CST
12046,6,CST
12047,6,CST
12048,6,CST
12049,6,CST
12050,6,CST
12051,6,CST
12052,6,CST
12053,6,CST
12054,6,CST
12055,6,CST
12056,6,CST
12057,6,CST
12058,6,CST
12059,6,CST
12060,6,CST
12061,6,CST
12062,6,CST
12063,6,CST
12064,6,CST
12065,6,CST
12066,6,CST
12067,6,CST
12068,6,CST
12069,6,CST
12070,6,CST
12071,6,CST
12072,6,CST
12073,6,CST
12074,6,CST
12075,6,CST
12076,6,CST
12077,6,CST
12078,6,CST
12079,6,CST
12080,6,CST
12081,6,CST
13000,6,CST
13001,6,CST
13002,6,CST
13003,6,CST
13004,6,CST
13005,6,CST
13006,6,CST
13007,6,CST
13008,6,CST
13009,6,CST
13010,6,CST
13011,6,CST
13012,6,CST
13013,6,CST
13014,6,CST
13015,6,CST
13016,6,CST
13017,6,CST
13018,6,CST
13019,6,CST
13020,6,CST
13021,6,CST
13022,6,CST
13023,6,CST
13024,6,CST
13025,6,CST
13026,6,CST
13027,6,CST
13028,6,CST
13029,6,CST
13030,6,CST
13031,6,CST
13032,6,CST
13033,6,CST
13034,6,CST
13035,6,CST
13036,6,CST
13037,6,CST
13038,6,CST
13039,6,CST
13040,6,CST
13041,6,CST
13042,6,CST
13043,6,CST
13044,6,CST
13045,6,CST
13046,6,CST
13047,6,CST
13048,6,CST
13049,6,CST
13050,6,CST
13051,6,CST
13052,6,CST
13053,6,CST
13054,6,CST
13055,6,CST
13056,6,CST
13057,6,CST
13058,6,CST
13059,6,CST
13060,6,CST
13061,6,CST
13062,6,CST
13063,6,CST
13064,6,CST
13065,6,CST
13066,6,CST
13067,6,CST
13068,6,CST
13069,6,CST
13070,6,CST
13071,6,CST
13072,6,CST
13073,6,CST
13074,6,CST
13075,6,CST
13076,6,CST
13077,6,CST
13078,6,CST
13079,6,CST
13080,6,CST
13081,6,CST
13082,6,CST
13083,6,CST
13084,6,CST
14000,6,CST
14001,6,CST
14002,6,CST
14003,6,CST
14004,6,CST
14005,6,CST
14006,6,CST
14007,6,CST
14008,6,CST
14009,6,CST
14010,6,CST
14011,6,CST
14012,6,CST
14013,6,CST
14014,6,CST
14015,6,CST
14016,6,CST
14017,6,CST
14018,6,CST
14019,6,CST
14020,6,CST
14021,6,CST
14022,6,CST
14023,6,CST
14024,6,CST
14025,6,CST
14026,6,CST
14027,6,CST
14028,6,CST
14029,6,CST
14030,6,CST
14031,6,CST
14032,6,CST
14033,6,CST
14034,6,CST
14035,6,CST
14036,6,CST
14037,6,CST
14038,6,CST
14039,6,CST
14040,6,CST
14041,6,CST
14042,6,CST
14043,6,CST
14044,6,CST
14045,6,CST
14046,6,CST
14047,6,CST
14048,6,CST
14049,6,CST
14050,6,CST
14051,6,CST
14052,6,CST
14053,6,CST
14054,6,CST
14055,6,CST
14056,6,CST
14057,6,CST
14058,6,CST
14059,6,CST
14060,6,CST
14061,6,CST
14062,6,CST
14063,6,CST
14064,6,CST
14065,6,CST
14066,6,CST
14067,6,CST
14068,6,CST
14069,6,CST
14070,6,CST
14071,6,CST
14072,6,CST
14073,6,CST
14074,6,CST
14075,6,CST
14076,6,CST
14077,6,CST
14078,6,CST
14079,6,CST
14080,6,CST
14081,6,CST
14082,6,CST
14083,6,CST
14084,6,CST
14085,6,CST
14086,6,CST
14087,6,CST
14088,6,CST
14089,6,CST
14090,6,CST
14091,6,CST
14092,6,CST
14093,6,CST
14094,6,CST
14095,6,CST
14096,6,CST
14097,6,CST
14098,6,CST
14099,6,CST
14100,6,CST
14101,6,CST
14102,6,CST
14103,6,CST
14104,6,CST
14105,6,CST
14106,6,CST
14107,6,CST
14108,6,CST
14109,6,CST
14110,6,CST
14111,6,CST
14112,6,CST
14113,6,CST
14114,6,CST
14115,6,CST
14116,6,CST
14117,6,CST
14118,6,CST
14119,6,CST
14120,6,CST
14121,6,CST
14122,6,CST
14123,6,CST
14124,6,CST
14125,6,CST
15000,6,CST
15001,6,CST
15002,6,CST
15003,6,CST
15004,6,CST
15005,6,CST
15006,6,CST
15007,6,CST
15008,6,CST
15009,6,CST
15010,6,CST
15011,6,CST
15012,6,CST
15013,6,CST
15014,6,CST
15015,6,CST
15016,6,CST
15017,6,CST
15018,6,CST
15019,6,CST
15020,6,CST
15021,6,CST
15022,6,CST
15023,6,CST
15024,6,CST
15025,6,CST
15026,6,CST
15027,6,CST
15028,6,CST
15029,6,CST
15030,6,CST
15031,6,CST
15032,6,CST
15033,6,CST
15034,6,CST
15035,6,CST
15036,6,CST
15037,6,CST
15038,6,CST
15039,6,CST
15040,6,CST
15041,6,CST
15042,6,CST
15043,6,CST
15044,6,CST
15045,6,CST
15046,6,CST
15047,6,CST
15048,6,CST
15049,6,CST
15050,6,CST
15051,6,CST
15052,6,CST
15053,6,CST
15054,6,CST
15055,6,CST
15056,6,CST
15057,6,CST
15058,6,CST
15059,6,CST
15060,6,CST
15061,6,CST
15062,6,CST
15063,6,CST
15064,6,CST
15065,6,CST
15066,6,CST
15067,6,CST
15068,6,CST
15069,6,CST
15070,6,CST
15071,6,CST
15072,6,CST
15073,6,CST
15074,6,CST
15075,6,CST
15076,6,CST
15077,6,CST
15078,6,CST
15079,6,CST
15080,6,CST
15081,6,CST
15082,6,CST
15083,6,CST
15084,6,CST
15085,6,CST
15086,6,CST
15087,6,CST
15088,6,CST
15089,6,CST
15090,6,CST
15091,6,CST
15092,6,CST
15093,6,CST
15094,6,CST
15095,6,CST
15096,6,CST
15097,6,CST
15098,6,CST
15099,6,CST
15100,6,CST
15101,6,CST
15102,6,CST
15103,6,CST
15104,6,CST
15105,6,CST
15106,6,CST
15107,6,CST
15108,6,CST
15109,6,CST
15110,6,CST
15111,6,CST
15112,6,CST
15113,6,CST
15114,6,CST
15115,6,CST
15116,6,CST
15117,6,CST
15118,6,CST
15119,6,CST
15120,6,CST
15121,6,CST
15122,6,CST
15123,6,CST
15124,6,CST
15125,6,CST
16000,6,CST
16001,6,CST
16002,6,CST
16003,6,CST
16004,6,CST
16005,6,CST
16006,6,CST
16007,6,CST
16008,6,CST
16009,6,CST
16010,6,CST
16011,6,CST
16012,6,CST
16013,6,CST
16014,6,CST
16015,6,CST
16016,6,CST
16017,6,CST
16018,6,CST
16019,6,CST
16020,6,CST
16021,6,CST
16022,6,CST
16023,6,CST
16024,6,CST
16025,6,CST
16026,6,CST
16027,6,CST
16028,6,CST
16029,6,CST
16030,6,CST
16031,6,CST
16032,6,CST
16033,6,CST
16034,6,CST
16035,6,CST
16036,6,CST
16037,6,CST
16038,6,CST
16039,6,CST
16040,6,CST
16041,6,CST
16042,6,CST
16043,6,CST
16044,6,CST
16045,6,CST
16046,6,CST
16047,6,CST
16048,6,CST
16049,6,CST
16050,6,CST
16051,6,CST
16052,6,CST
16053,6,CST
16054,6,CST
16055,6,CST
16056,6,CST
16057,6,CST
16058,6,CST
16059,6,CST
16060,6,CST
16061,6,CST
16062,6,CST
16063,6,CST
16064,6,CST
16065,6,CST
16066,6,CST
16067,6,CST
16068,6,CST
16069,6,CST
16070,6,CST
16071,6,CST
16072,6,CST
16073,6,CST
16074,6,CST
16075,6,CST
16076,6,CST
16077,6,CST
16078,6,CST
16079,6,CST
16080,6,CST
16081,6,CST
16082,6,CST
16083,6,CST
16084,6,CST
16085,6,CST
16086,6,CST
16087,6,CST
16088,6,CST
16089,6,CST
16090,6,CST
16091,6,CST
16092,6,CST
16093,6,CST
16094,6,CST
16095,6,CST
16096,6,CST
16097,6,CST
16098,6,CST
16099,6,CST
16100,6,CST
16101,6,CST
16102,6,CST
16103,6,CST
16104,6,CST
16105,6,CST
16106,6,CST
16107,6,CST
16108,6,CST
16109,6,CST
16110,6,CST
16111,6,CST
16112,6,CST
16113,6,CST
17000,6,CST
17001,6,CST
17002,6,CST
17003,6,CST
17004,6,CST
17005,6,CST
17006,6,CST
17007,6,CST
17008,6,CST
17009,6,CST
17010,6,CST
17011,6,CST
17012,6,CST
17013,6,CST
17014,6,CST
17015,6,CST
17016,6,CST
17017,6,CST
17018,6,CST
17019,6,CST
17020,6,CST
17021,6,CST
17022,6,CST
17023,6,CST
17024,6,CST
17025,6,CST
17026,6,CST
17027,6,CST
17028,6,CST
17029,6,CST
17030,6,CST
17031,6,CST
17032,6,CST
17033,6,CST
18000,7,MST
18001,7,MST
18002,7,MST
18003,7,MST
18004,7,MST
18005,7,MST
18006,7,MST
18007,7,MST
18008,7,MST
18009,7,MST
18010,7,MST
18011,7,MST
18012,7,MST
18013,7,MST
18014,7,MST
18015,7,MST
18016,7,MST
18017,7,MST
18018,7,MST
18019,7,MST
18020,7,MST
19000,6,CST
19001,6,CST
19002,6,CST
19003,6,CST
19004,6,CST
19005,6,CST
19006,6,CST
19007,6,CST
19008,6,CST
19009,6,CST
19010,6,CST
19011,6,CST
19012,6,CST
19013,6,CST
19014,6,CST
19015,6,CST
19016,6,CST
19017,6,CST
19018,6,CST
19019,6,CST
19020,6,CST
19021,6,CST
19022,6,CST
19023,6,CST
19024,6,CST
19025,6,CST
19026,6,CST
19027,6,CST
19028,6,CST
19029,6,CST
19030,6,CST
19031,6,CST
19032,6,CST
19033,6,CST
19034,6,CST
19035,6,CST
19036,6,CST
19037,6,CST
19038,6,CST
19039,6,CST
19040,6,CST
19041,6,CST
19042,6,CST
19043,6,CST
19044,6,CST
19045,6,CST
19046,6,CST
19047,6,CST
19048,6,CST
19049,6,CST
19050,6,CST
19051,6,CST
20000,6,CST
20001,6,CST
20002,6,CST
20003,6,CST
20004,6,CST
20005,6,CST
20006,6,CST
20007,6,CST
20008,6,CST
20009,6,CST
20010,6,CST
20011,6,CST
20012,6,CST
20013,6,CST
20014,6,CST
20015,6,CST
20016,6,CST
20017,6,CST
20018,6,CST
20019,6,CST
20020,6,CST
20021,6,CST
20022,6,CST
20023,6,CST
20024,6,CST
20025,6,CST
20026,6,CST
20027,6,CST
20028,6,CST
20029,6,CST
20030,6,CST
20031,6,CST
20032,6,CST
20033,6,CST
20034,6,CST
20035,6,CST
20036,6,CST
20037,6,CST
20038,6,CST
20039,6,CST
20040,6,CST
20041,6,CST
20042,6,CST
20043,6,CST
20044,6,CST
20045,6,CST
20046,6,CST
20047,6,CST
20048,6,CST
20049,6,CST
20050,6,CST
20051,6,CST
20052,6,CST
20053,6,CST
20054,6,CST
20055,6,CST
20056,6,CST
20057,6,CST
20058,6,CST
20059,6,CST
20060,6,CST
20061,6,CST
20062,6,CST
20063,6,CST
20064,6,CST
20065,6,CST
20066,6,CST
20067,6,CST
20068,6,CST
20069,6,CST
20070,6,CST
20071,6,CST
20072,6,CST
20073,6,CST
20074,6,CST
20075,6,CST
20076,6,CST
20077,6,CST
20078,6,CST
20079,6,CST
20080,6,CST
20081,6,CST
20082,6,CST
20083,6,CST
20084,6,CST
20085,6,CST
20086,6,CST
20087,6,CST
20088,6,CST
20089,6,CST
20090,6,CST
20091,6,CST
20092,6,CST
20093,6,CST
20094,6,CST
20095,6,CST
20096,6,CST
20097,6,CST
20098,6,CST
20099,6,CST
20100,6,CST
20101,6,CST
20102,6,CST
20103,6,CST
20104,6,CST
20105,6,CST
20106,6,CST
20107,6,CST
20108,6,CST
20109,6,CST
20110,6,CST
20111,6,CST
20112,6,CST
20113,6,CST
20114,6,CST
20115,6,CST
20116,6,CST
20117,6,CST
20118,6,CST
20119,6,CST
20120,6,CST
20121,6,CST
20122,6,CST
20123,6,CST
20124,6,CST
20125,6,CST
20126,6,CST
20127,6,CST
20128,6,CST
20129,6,CST
20130,6,CST
20131,6,CST
20132,6,CST
20133,6,CST
20134,6,CST
20135,6,CST
20136,6,CST
20137,6,CST
20138,6,CST
20139,6,CST
20140,6,CST
20141,6,CST
20142,6,CST
20143,6,CST
20144,6,CST
20145,6,CST
20146,6,CST
20147,6,CST
20148,6,CST
20149,6,CST
20150,6,CST
20151,6,CST
20152,6,CST
20153,6,CST
20154,6,CST
20155,6,CST
20156,6,CST
20157,6,CST
20158,6,CST
20159,6,CST
20160,6,CST
20161,6,CST
20162,6,CST
20163,6,CST
20164,6,CST
20165,6,CST
20166,6,CST
20167,6,CST
20168,6,CST
20169,6,CST
20170,6,CST
20171,6,CST
20172,6,CST
20173,6,CST
20174,6,CST
20175,6,CST
20176,6,CST
20177,6,CST
20178,6,CST
20179,6,CST
20180,6,CST
20181,6,CST
20182,6,CST
20183,6,CST
20184,6,CST
20185,6,CST
20186,6,CST
20187,6,CST
20188,6,CST
20189,6,CST
20190,6,CST
20191,6,CST
20192,6,CST
20193,6,CST
20194,6,CST
20195,6,CST
20196,6,CST
20197,6,CST
20198,6,CST
20199,6,CST
20200,6,CST
20201,6,CST
20202,6,CST
20203,6,CST
20204,6,CST
20205,6,CST
20206,6,CST
20207,6,CST
20208,6,CST
20209,6,CST
20210,6,CST
20211,6,CST
20212,6,CST
20213,6,CST
20214,6,CST
20215,6,CST
20216,6,CST
20217,6,CST
20218,6,CST
20219,6,CST
20220,6,CST
20221,6,CST
20222,6,CST
20223,6,CST
20224,6,CST
20225,6,CST
20226,6,CST
20227,6,CST
20228,6,CST
20229,6,CST
20230,6,CST
20231,6,CST
20232,6,CST
20233,6,CST
20234,6,CST
20235,6,CST
20236,6,CST
